"","GameDate","start_date","end_date"
"1",2018-03-29,2018-03-29,2018-03-29
"2",2018-03-30,2018-03-30,2018-03-30
"3",2018-03-31,2018-03-31,2018-03-31
"4",2018-04-01,2018-04-01,2018-04-01
"5",2018-04-02,2018-04-02,2018-04-02
"6",2018-04-03,2018-04-03,2018-04-03
"7",2018-04-04,2018-04-04,2018-04-04
"8",2018-04-05,2018-04-05,2018-04-05
"9",2018-04-06,2018-04-06,2018-04-06
"10",2018-04-07,2018-04-07,2018-04-07
"11",2018-04-08,2018-04-08,2018-04-08
"12",2018-04-09,2018-04-09,2018-04-09
"13",2018-04-10,2018-04-10,2018-04-10
"14",2018-04-11,2018-04-11,2018-04-11
"15",2018-04-12,2018-04-12,2018-04-12
"16",2018-04-13,2018-04-13,2018-04-13
"17",2018-04-14,2018-04-14,2018-04-14
"18",2018-04-15,2018-04-15,2018-04-15
"19",2018-04-16,2018-04-16,2018-04-16
"20",2018-04-17,2018-04-17,2018-04-17
"21",2018-04-18,2018-04-18,2018-04-18
"22",2018-04-19,2018-04-19,2018-04-19
"23",2018-04-20,2018-04-20,2018-04-20
"24",2018-04-21,2018-04-21,2018-04-21
"25",2018-04-22,2018-04-22,2018-04-22
"26",2018-04-23,2018-04-23,2018-04-23
"27",2018-04-24,2018-04-24,2018-04-24
"28",2018-04-25,2018-04-25,2018-04-25
"29",2018-04-26,2018-04-26,2018-04-26
"30",2018-04-27,2018-04-27,2018-04-27
"31",2018-04-28,2018-04-28,2018-04-28
"32",2018-04-29,2018-04-29,2018-04-29
"33",2018-04-30,2018-04-30,2018-04-30
"34",2018-05-01,2018-05-01,2018-05-01
"35",2018-05-02,2018-05-02,2018-05-02
"36",2018-05-03,2018-05-03,2018-05-03
"37",2018-05-04,2018-05-04,2018-05-04
"38",2018-05-05,2018-05-05,2018-05-05
"39",2018-05-06,2018-05-06,2018-05-06
"40",2018-05-07,2018-05-07,2018-05-07
"41",2018-05-08,2018-05-08,2018-05-08
"42",2018-05-09,2018-05-09,2018-05-09
"43",2018-05-10,2018-05-10,2018-05-10
"44",2018-05-11,2018-05-11,2018-05-11
"45",2018-05-12,2018-05-12,2018-05-12
"46",2018-05-13,2018-05-13,2018-05-13
"47",2018-05-14,2018-05-14,2018-05-14
"48",2018-05-15,2018-05-15,2018-05-15
"49",2018-05-16,2018-05-16,2018-05-16
"50",2018-05-17,2018-05-17,2018-05-17
"51",2018-05-18,2018-05-18,2018-05-18
"52",2018-05-19,2018-05-19,2018-05-19
"53",2018-05-20,2018-05-20,2018-05-20
"54",2018-05-21,2018-05-21,2018-05-21
"55",2018-05-22,2018-05-22,2018-05-22
"56",2018-05-23,2018-05-23,2018-05-23
"57",2018-05-24,2018-05-24,2018-05-24
"58",2018-05-25,2018-05-25,2018-05-25
"59",2018-05-26,2018-05-26,2018-05-26
"60",2018-05-27,2018-05-27,2018-05-27
"61",2018-05-28,2018-05-28,2018-05-28
"62",2018-05-29,2018-05-29,2018-05-29
"63",2018-05-30,2018-05-30,2018-05-30
"64",2018-05-31,2018-05-31,2018-05-31
"65",2018-06-01,2018-06-01,2018-06-01
"66",2018-06-02,2018-06-02,2018-06-02
"67",2018-06-03,2018-06-03,2018-06-03
"68",2018-06-04,2018-06-04,2018-06-04
"69",2018-06-05,2018-06-05,2018-06-05
"70",2018-06-06,2018-06-06,2018-06-06
"71",2018-06-07,2018-06-07,2018-06-07
"72",2018-06-08,2018-06-08,2018-06-08
"73",2018-06-09,2018-06-09,2018-06-09
"74",2018-06-10,2018-06-10,2018-06-10
"75",2018-06-11,2018-06-11,2018-06-11
"76",2018-06-12,2018-06-12,2018-06-12
"77",2018-06-13,2018-06-13,2018-06-13
"78",2018-06-14,2018-06-14,2018-06-14
"79",2018-06-15,2018-06-15,2018-06-15
"80",2018-06-16,2018-06-16,2018-06-16
"81",2018-06-17,2018-06-17,2018-06-17
"82",2018-06-18,2018-06-18,2018-06-18
"83",2018-06-19,2018-06-19,2018-06-19
"84",2018-06-20,2018-06-20,2018-06-20
"85",2018-06-21,2018-06-21,2018-06-21
"86",2018-06-22,2018-06-22,2018-06-22
"87",2018-06-23,2018-06-23,2018-06-23
"88",2018-06-24,2018-06-24,2018-06-24
"89",2018-06-25,2018-06-25,2018-06-25
"90",2018-06-26,2018-06-26,2018-06-26
"91",2018-06-27,2018-06-27,2018-06-27
"92",2018-06-28,2018-06-28,2018-06-28
